,id,entity_id,timestamp,provider,code,report_date,announce_date,record_date,dividend_date,dividend,announce_date_general_meeting,announce_date_dividend_implementation,last_trading_day_b_shares,dividend_per_share_after_tax,dividend_per_share_before_tax,dividend_plan_progress,dividend_pay_date,share_bonus_per_share,per_share_conversion_ratio
0,stock_sh_600028_2002-07-22,stock_sh_600028,2002-07-22,emquantapi,600028,2001-12-31,,2002-07-19,2002-07-22,10?0?0?0.8?,,2002-07-16,,0.064,0.08,????,2002-08-08,0.0,0.0
1,stock_sh_600028_2003-06-23,stock_sh_600028,2003-06-23,emquantapi,600028,2002-12-31,,2003-06-20,2003-06-23,10?0?0?0.6?,,2003-06-17,,0.048,0.06,????,2003-06-30,0.0,0.0
2,stock_sh_600028_2004-06-07,stock_sh_600028,2004-06-07,emquantapi,600028,2003-12-31,2004-03-29,2004-06-04,2004-06-07,10?0?0?0.6?,,2004-06-01,,0.048,0.06,????,2004-06-28,0.0,0.0
3,stock_sh_600028_2005-06-06,stock_sh_600028,2005-06-06,emquantapi,600028,2004-12-31,2005-03-29,2005-06-03,2005-06-06,10?0?0?0.8?,,2005-05-31,,0.072,0.08,????,2005-06-27,0.0,0.0
4,stock_sh_600028_2006-06-19,stock_sh_600028,2006-06-19,emquantapi,600028,2005-12-31,2006-04-03,2006-06-16,2006-06-19,10?0?0?0.9?,,2006-06-13,,0.081,0.09,????,2006-06-30,0.0,0.0
5,stock_sh_600028_2007-06-18,stock_sh_600028,2007-06-18,emquantapi,600028,2006-12-31,2007-04-10,2007-06-15,2007-06-18,10?0?0?1.1?,,2007-06-12,,0.099,0.11,????,2007-06-29,0.0,0.0
6,stock_sh_600028_2008-06-16,stock_sh_600028,2008-06-16,emquantapi,600028,2007-12-31,2008-04-07,2008-06-13,2008-06-16,10?0?0?1.15?,,2008-06-10,,0.1035,0.115,????,2008-06-30,0.0,0.0
7,stock_sh_600028_2009-06-15,stock_sh_600028,2009-06-15,emquantapi,600028,2008-12-31,2009-03-30,2009-06-12,2009-06-15,10?0?0?0.9?,,2009-06-09,,0.081,0.09,????,2009-06-30,0.0,0.0
8,stock_sh_600028_2010-06-17,stock_sh_600028,2010-06-17,emquantapi,600028,2009-12-31,2010-03-29,2010-06-11,2010-06-17,10?0?0?1.1?,,2010-06-08,,0.099,0.11,????,2010-06-30,0.0,0.0
9,stock_sh_600028_2011-06-20,stock_sh_600028,2011-06-20,emquantapi,600028,2010-12-31,2011-03-28,2011-06-17,2011-06-20,10?0?0?1.3?,,2011-06-14,,0.117,0.13,????,2011-06-30,0.0,0.0
10,stock_sh_600028_2012-05-28,stock_sh_600028,2012-05-28,emquantapi,600028,2011-12-31,2012-03-26,2012-05-25,2012-05-28,10?0?0?2?,,2012-05-22,,0.18,0.2,????,2012-06-07,0.0,0.0
11,stock_sh_600028_2013-06-19,stock_sh_600028,2013-06-19,emquantapi,600028,2012-12-31,2013-04-11,2013-06-18,2013-06-19,10?1?2?2?,,2013-06-13,,0.16,0.2,????,2013-06-25,0.2,0.1
12,stock_sh_600028_2014-06-03,stock_sh_600028,2014-06-03,emquantapi,600028,2013-12-31,2014-03-24,2014-05-30,2014-06-03,10?1.5?,,2014-05-27,,0.135,0.15,????,2014-06-19,,
13,stock_sh_600028_2015-06-19,stock_sh_600028,2015-06-19,emquantapi,600028,2014-12-31,2015-03-23,2015-06-18,2015-06-19,10?1.1?,,2015-06-15,,0.099,0.11,????,2015-06-19,,
14,stock_sh_600028_2016-06-24,stock_sh_600028,2016-06-24,emquantapi,600028,2015-12-31,2016-03-30,2016-06-23,2016-06-24,10?0.6?,,2016-06-18,,0.054,0.06,????,2016-06-24,,
15,stock_sh_600028_2017-07-19,stock_sh_600028,2017-07-19,emquantapi,600028,2016-12-31,2017-03-27,2017-07-18,2017-07-19,10?1.7?,,2017-07-12,,0.153,0.17,????,2017-07-19,,
16,stock_sh_600028_2018-06-05,stock_sh_600028,2018-06-05,emquantapi,600028,2017-12-31,2018-03-26,2018-06-04,2018-06-05,10?4?,,2018-05-29,,0.36,0.4,????,2018-06-05,,
17,stock_sh_600028_2019-06-11,stock_sh_600028,2019-06-11,emquantapi,600028,2018-12-31,2019-03-25,2019-06-10,2019-06-11,10?2.6?,,2019-06-03,,0.234,0.26,????,2019-06-11,,
18,stock_sh_600028_2020-06-10,stock_sh_600028,2020-06-10,emquantapi,600028,2019-12-31,2020-03-30,2020-06-09,2020-06-10,10?1.9?,,2020-06-02,,0.171,0.19,????,2020-06-10,,
